question,answer,tags,QA
my hands tremble feel nerve pain and stomach pain after masturbating?,masturbation is not good for health and should be completely avoided. if u stop it all other problems will go away automatically. take symptomatic treatment till then. health supplements will be helpful,['ejaculation disorders in men'],qd
my husband and i are trying to have a baby. i was 10 days late for my period. and today i'm spotting. pregnant? . i took a test 6 days ago and it was negative. any info would be greatly appreciated.,i'd suggest you take another home pregnancy test. and do it first thing in the morning when your urine is most concentrated. your spotting could indeed be implantation bleeding. or it could be the arrival of your period. only the home pregnancy test can tell for sure! if you take another pregnancy test that comes up negative but you fail to have a regular period i suggest you consult a gynecologist to find out what's going on. a number of factors could cause you to skip a period and yet not be pregnant. your gynecologist can sort through the possibilities and figure out what's going on. wishing you all the best for a positive test!,"['period', 'pregnancy', 'baby', 'spotting']",wmd
am a state of illin retired and i have blue cross hmo insurance and medicare which is best to make primary?,medicare is always your primary. i don't believe you have a choice.,['insurance'],wmd
3 year olds nose has a bad smell coming fron it,the most common reason for this is a foreign body usually food. your three-year old for some reason decided it was a good idea to put a green bean pea or? in the nose. if there is a bad smell and a nasty drainage from just one-side this is the most likely reason. nasal foreign bodies can be challenging to remove so it may be a good idea to allow the medical provider to do it for you.,"['nose', 'smell']",wmd
when i stretch my legs or my uper body i get severe pain like charlie horses i cant stretch at all due 2 pain back/legs. i have been diagnosed with lupus and arthritis i had 2 neck surgeries and both shoulders cleaned out with a tear in my left. the neurologist that done my neck surgery said my spine is a complete mess he perform a full mri of my spine and i have some damage at all levels,hi can you take advice if you can try these they may just help with time one is cayenne pepper very good for arthritis or ra you just need a 1/4lb jar some tomato paste and cp mix some with tomato paste and thin with olive oil do this to a heat that suits you at first you have to try it. ok you take 3 small spoonful's each morning first thing wash each one down with water just give it time and it will work so overtime you can build up the heat you take. apple cider vinegar should help your other problem i take this as well and the cp. but just put a small amount in a small glass mix with orange juice and take do this 3 times a day see how this helps you i have some fibresitus or something like that its keeps it down for me. just go to www. earthclinic. com and www. cayennepepper. info lots of info on both. do hope this helps you. good luck,"['leg', 'pain', 'lupus', 'arthritis', 'neck']",wmd
my baby is fussy while passing stool. is it due to anal fissure?,yes it can be anal fissures. also you can look for a skin tag around perianal area which occurs in anal fissure. does the child have constipation or tight stools? because if it is an anal fissure then we will have to see the cause of hard stools as the difficulty to pass stool can cause fissures. he should also be checked for hypothyroidism. is there any blood in stools? most likely it is anal fissure. the rest all can be said on examination for which you should see a pediatrician. for further doubts consult a paediatrician online ,['baby constipation'],ic
are men today more obsessed with their genital functions?,there seem to be a lot more obsession questions over the years about penile implants and penile size ejaculatory volume and issues that arent really so much health issues but more concerned with personal image. things are changing. people now no longer seem content with who they are and they want to be something else. and so were trying to figure out why that this is going on. the only thing that several of us have been able to come up with is its the internet. and pornography and that young guys and women are seeing men who are not normal maybe particularly healthy you know what i mean well-endowed not anything that they will ever see in their lives and they now compare themselves to these porn stars. and they look down there and they dont see something that impressive and they dont understand why theyre not that way. and the answer is because very few people are that way. thats not necessarily the norm. (butt) that applies to ejaculatory volume frequency of ejaculation erection size girth length what you do how you do it what it is that youre supposed to do. young teens im sure are seeing images and thinking thats what im supposed to do. and its changing things. its bad for the guys its bad for the females. sex is no longer this romantic special bond it becomes this act that youre supposed to do trying to follow some bizarre video that was sent to you online.,[],wmd
what are the symptoms of bacterial vaginosis?,what if i only have a mild fishy smell?,['bacterial vaginosis'],wmd
what causes pagets disease of bone?,we don't know what causes paget's disease. but genetic factors and viruses may play a role. genetics. if your parents brothers or sisters have paget's disease you are more likely to develop the disease than if you do not have a family history of the disease. 1 virus. viruses have been found in the bones of people with paget's disease. the viruses may be associated with measles or canine distemper (found in dogs). 2 but there is no proof that any of these viruses cause paget's disease. webmd medical reference from healthwise this information is not intended to replace the advice of a doctor. healthwise disclaims any liability for the decisions you make based on this information. © 1995-2011 healthwise incorporated. healthwise healthwise for every health decision and the healthwise logo are trademarks of healthwise incorporated.,"[""paget's disease""]",wmd
ive been having constant headache for about 10 days now?,hi these are symptoms of chronic recurring sinus infection. this may be allergic or non-allergic secondary to underlying disease. a ct pns should be done to rule out polyps. sinoscopy will help direct visualisation of sinuses. consult a ent specialist. thanks,['constant headache'],qd
