0,1,2
"Some drugs normally taken for high blood pressure, like clonidine (Kapvay) and guanfacine hcl (Tenex), may help control symptoms of ADHD.",Which blood pressure drugs are used to treat ADHD?,ADD-ADHD
"Venlafaxine (Effexor and Effexor XR) is a newer antidepressant that boosts the levels of norepinephrine and serotonin in the brain. It helps improve mood and concentration. It's not often used to treat ADHD, though.",Can Effexor or Effexor XR help ADHD?,ADD-ADHD
"Antidepressants seem to improve attention span, impulse control, hyperactivity, and aggressiveness. Children and teens who take them are often more willing to take direction and are less disruptive.",How do antidepressants treat ADHD?,ADD-ADHD
"In October 2004, the FDA determined that antidepressant medications raise the risk of suicidal thinking and behavior in children and teens with depression and other psychiatric disorders. Discuss any questions or concerns with your doctor.",What are the risks of using antidepressants for ADHD?,ADD-ADHD
"In large doses -- greater than what is typically prescribed for ADHD -- Ritalin does have effects similar to those of cocaine. However, researchers have found marked differences between the two drugs. One of the factors that leads to addiction and drug abuse is how quickly a drug raises dopamine levels. The faster dopamine levels go up, the greater the potential for abuse. One researcher found that Ritalin takes about an hour to raise dopamine levels in the brain, compared to only seconds with inhaled cocaine. The doses of Ritalin and other stimulants used to treat ADHD tend to be lower and longer-acting, which reduces the risk of addiction. Long-term use of all stimulants can sometimes lead to a phenomenon called tolerance -- that is, higher doses are needed to achieve the same effect of a controlled substance. If and when this happens, a doctor may then be more likely to consider using nonstimulant medicines to treat ADHD.",How similar is Ritalin to cocaine?,ADD-ADHD
"Adderall is the trade name for a combination of two drugs: dextroamphetamine and amphetamine. If you take a generic version of Adderall, those two drug names will be on your medicine bottle. The generic costs less, but that�s about the only difference you�ll notice. Generic dextroamphetamine/amphetamine has the same risk of side effects as brand-name Adderall. It provides the same benefits, too.",Does generic Adderall have the same side effects as the brand-name version?,ADD-ADHD
"An Adderall crash happens if you stop the drug after you’ve used it for a long time or after you’ve been taking a high dose. If you have sleepiness, doing that suddenly instead of having a doctor slowly wean you off of it can make it worse.",What is an Adderall crash?,ADD-ADHD
"Concerta is the brand name for methylphenidate hydrochloride extended-release tablets. The medicine gets into your system slowly, and the effects can last up to 12 hours. One pill in the morning is meant to help manage your ADHD symptoms through the whole school or work day.",How long will the effect of Concerta last?,ADD-ADHD
"When you quit taking the drug, your dopamine levels drop and your body and brain have to adjust to the change. Most people who take it as instructed don’t have any issues if they take a break from it. But if you use it too often or take too much, you might notice some effects when you stop.",What happens when you stop taking Adderall?,ADD-ADHD
"Adderall boosts your levels of serotonin, norepinephrine, and dopamine. These are neurotransmitters in your brain that calm and relax you so you can focus better. They also affect sleep in different ways. That may be the reason the drug causes drowsiness in some but not others. In studies, 2% to 4% of kids who took the drug had low energy and sleepiness. For adults, it was 6%.","If Adderall is a stimulant, how can it make some people sleepy?",ADD-ADHD
Bupropion is an antidepressant that may help with ADHD symptoms. Possible side effects of bupropion are:,What are the common side effects of bupropion?,ADD-ADHD
Stimulants include:,Which specific drugs are considered stimulants?,ADD-ADHD
"ADHD often leads to problems with controlling emotions. Many people with adult ADHD are quick to explode over minor problems. Often, they feel as if they have no control over their emotions. Many times, their anger fades as quickly as it flared, long before the people who dealt with the outburst have gotten over the incident.",What anger issues might adult ADHD cause?,ADD-ADHD
"Long-term use of all stimulants can sometimes lead to a phenomenon called tolerance -- that is, when a person needs higher doses of a certain drug to achieve the same effects. If and when this happens, a doctor might consider prescribing non-stimulant medicines to treat ADHD.",What happens if someone develops a tolerance to ADHD medication?,ADD-ADHD
"In large doses -- greater than what is typically prescribed for ADHD -- Ritalin does have effects similar to those of cocaine. However, researchers have found marked differences between the two drugs. One of the factors that leads to addiction and drug abuse is how quickly a drug raises dopamine levels. The faster dopamine levels go up, the greater the potential for abuse. One researcher found that Ritalin takes about an hour to raise dopamine levels in the brain, compared to only seconds with inhaled cocaine. The doses of Ritalin and other stimulants used to treat ADHD tend to be lower and longer-acting, which reduces the risk of addiction.",How is Ritalin different from cocaine?,ADD-ADHD
Some foods that have salicylates include:,What foods contain salicylates?,ADD-ADHD
"The Behavior Assessment System for Children (BASC) is a test that looks for things like hyperactivity, aggression, and conduct problems. It also looks for anxiety, depression, attention and learning problems, as well as the lack of certain essential skills.",What is the Behavior Assessment System for Children?,ADD-ADHD
